engine_id,feature,shap_value,abs_shap,rank_local
51,sensor_measurement_3_kalman,-0.007997437027127793,0.007997437027127793,54
51,rs_s20_rmin5,-0.007543741508076588,0.007543741508076588,55
51,si_s7_s11_prod,-0.006927623506635427,0.006927623506635427,56
51,sensor_measurement_20_kalman,0.0063912738871295,0.0063912738871295,57
51,rc_s12_pct1,0.005112561583518982,0.005112561583518982,58
51,sensor_measurement_2_kalman,-0.004369283187649368,0.004369283187649368,59
51,si_s4_s2_ratio,0.004182036273414269,0.004182036273414269,60
51,rs_s17_rmin5,-0.0036433516458297768,0.0036433516458297768,61
51,rs_s11_rmin5,-0.003390147971610228,0.003390147971610228,62
51,tr_s12_slope5,-0.00319216704616944,0.00319216704616944,63
51,rc_s9_pct1,-0.0028716487810015678,0.0028716487810015678,64
51,rc_s17_pct1,0.001141263742465526,0.001141263742465526,65
51,rs_s21_rmin5,0.0010609498713165522,0.0010609498713165522,66
52,tr_s9_slope5,-0.46058768878380457,0.46058768878380457,1
52,rc_s9_pct1,-0.33848252824973313,0.33848252824973313,2
52,tr_s11_slope5,-0.1075034411837502,0.1075034411837502,3
52,sensor_measurement_9_kalman,-0.0987535098567605,0.0987535098567605,4
52,tr_s4_slope5,-0.058150017416725555,0.058150017416725555,5
52,tr_s12_slope5,-0.05732466458963851,0.05732466458963851,6
52,rc_s12_pct1,-0.055503088817931714,0.055503088817931714,7
52,tr_s21_slope5,-0.05072124682677289,0.05072124682677289,8
52,rc_s11_pct1,-0.04585136075814565,0.04585136075814565,9
52,sensor_measurement_13_kalman,0.0432686789582173,0.0432686789582173,10
52,tr_s17_slope5,-0.042891086007875855,0.042891086007875855,11
52,sensor_measurement_3_kalman,-0.03990707693543906,0.03990707693543906,12
52,tr_s15_slope5,-0.039152387195887664,0.039152387195887664,13
52,tr_s7_slope5,-0.03535309366028135,0.03535309366028135,14
52,tr_s20_slope5,-0.035351518156615684,0.035351518156615684,15
52,sensor_measurement_8_kalman,0.03399159666150808,0.03399159666150808,16
52,rc_s4_pct1,-0.033635602332651615,0.033635602332651615,17
52,rc_s21_pct1,-0.033051321556558835,0.033051321556558835,18
52,sensor_measurement_17_kalman,-0.02986724510944138,0.02986724510944138,19
52,rs_s8_rmin5,0.02945826790916423,0.02945826790916423,20
52,rc_s8_pct1,-0.02279576888686279,0.02279576888686279,21
52,rs_s9_rmin5,0.022468821830504263,0.022468821830504263,22
52,rc_s3_pct1,-0.021416412255105873,0.021416412255105873,23
52,tr_s2_slope5,-0.01871778198207418,0.01871778198207418,24
52,rs_s3_rmin5,-0.017263094968317697,0.017263094968317697,25
52,rc_s2_pct1,-0.016271174256689846,0.016271174256689846,26
52,rs_s2_rmin5,0.016041141183814035,0.016041141183814035,27
52,sensor_measurement_11_kalman,0.014050165618148943,0.014050165618148943,28
52,si_s4_s11_prod,0.014019906598453721,0.014019906598453721,29
52,rs_s7_rmin5,-0.013431528109867941,0.013431528109867941,30
52,rs_s17_rmin5,-0.01282767482334748,0.01282767482334748,31
52,rc_s20_pct1,-0.012468159449053929,0.012468159449053929,32
52,rc_s13_pct1,-0.012116147919247549,0.012116147919247549,33
52,rs_s11_rmin5,0.011970906650337081,0.011970906650337081,34
52,si_s11_s12_prod,0.011955794068247391,0.011955794068247391,35
52,rs_s21_rmin5,-0.01030998837183385,0.01030998837183385,36
52,rs_s13_rmin5,-0.009881758195357785,0.009881758195357785,37
